TSV files	no. records	Series	Former Reference (Dept)	Former Reference (PRO)	Title	Description	Covering Dates	Physical Description	Note	Separated Material	Related Material	Closure Status	Closure Type	Closure Code	Record Opening Date	ID
LIVE_C10123_3Sep2019_TSV.txt	4536	LAB 8	"EM series; also AD, ADR, AR, CR, MRS, NM, PL, and TSR series"		"Ministry of Labour and successors: Employment Policy, Registered Files (EM series and other series)"	"This series contains registered files concerning matters of general employment policy. The series also includes a complete set of ministry forms plus records of, and files relating to, various ministerial committees and other bodies concerned with employment operations. ¶ The main series of files represented is the EM series, which deals with general employment policy relating to recruitment, labour supply and placing. The series also contains registered files from several other file series relating to manpower and various aspects of employment, including papers concerning special areas, the building industry, port labour, registrations for employment in technical and professional and scientific fields, the employment of aliens (including prisoners of war and immigrants) and ex-servicemen, special wartime arrangements and legislation relating to equal pay and conditions of employment for women. Other file series represented in this series include AD (Appointments Department), ADR (resettlement in civilian employment), AR (recruitment and control of foreign labour), CR (wartime central register of professional and scientific personnel), MRS (manpower statistics), NM (nursing), PL (port labour), and TSR (technical and scientific register)."	1907-1997	4098 files and volumes			See also 		Normal Closure before FOI Act: 	30		C10123
LIVE_C10943_3Sep2019_TSV.txt	20	MH 100			Board of Control: Monthly Conference Notes	"This series contains agenda notes and summaries of principal points discussed at monthly meetings of the Board of Control, its commissioners and its inspectors and at their subsequent joint monthly conferences. Among the subjects discussed at the meetings and conferences were administration, expenditure, guardianship visits and changes of hospital staff."	1940-1955	17 file(s)					Normal Closure before FOI Act: 	30		C10943
LIVE_C10946_3Sep2019_TSV.txt	312	MH 103			"Department of Health and Social Security and predecessors: Special Hospitals, Patients' Files"	"This series contains a selection of case files of patients at the special hospitals for the criminally insane, Broadmoor, Rampton and Moss Side. The files contain details of the length of stay, patient reviews, and the repatriation, discharge or death of the patient."	1913-1981	309 file(s)			For further files dealing with special hospitals see MH 150; For case files kept by the Home Office on offenders who were sent to special hospitals see HO 343		Normal Closure before FOI Act: 	30		C10946
LIVE_C10949_3Sep2019_TSV.txt	23469	MH 106			War Office: First World War Representative Medical Records of Servicemen	"The records in this series are a representative selection of several types of medical records from various theatres of war. They were brought together by the Medical Research Committee and the British Museum during and immediately after the 1914 to 1918 War for use in statistical studies of the treatment for injuries sustained, and diseases contracted, by British troops. The records were later used by the Ministry of Pensions, which inherited them, and subsequently by the War Pensions Branches of its successor departments, to verify claims for war disability pensions. ¶ The records in this series are a representative selection of the original collection. The records include admission and discharge registers from hospitals and casualty clearing stations, field ambulances, an ambulance train and a hospital ship. There are also medical sheets, selected to illustrate the diversity of diseases contracted, injuries received and treatments prescribed and medical cards relating to individuals in selected regiments, together with means of reference to the various types of record and volumes containing information on the provenance and use of the original collection. ¶ Following enquiries from the public, efforts to locate the rest of this collection, or to confirm its fate, have proved unsuccessful. It is believed that the reminder of the records were destroyed before the Second World War."	1912-1921	2389 volume(s)					Normal Closure before FOI Act: 	30		C10949
LIVE_C10961_3Sep2019_TSV.txt	186	MH 118			"Board of Control and Ministry of Health: Special Hospitals, Registered Files"	"This series contains registered files of the Board of Control, and later the Ministry of Health, relating to the administration of the special hospitals at Broadmoor, Rampton and Moss Side. They include Board of Control Commissioners' annual and inspection reports, files on patient welfare, and the recruitment and conditions of service of staff. Also includes records of the Central Whitley Committee for the three hospitals."	1895-1967	175 file(s)					Normal Closure before FOI Act: 	30		C10961
LIVE_C10855_3Sep2019_TSV.txt	87271	MH 12			Local Government Board and predecessors: Correspondence with Poor Law Unions and Other Local Authorities	"This series consists of correspondence of the Poor Law Commission, the Poor Law Board and the Local Government Board with Poor Law Unions and other Local Authorities. It covers the years 1834 to 1900. ¶ Poor law unions were collections or groups of parishes brought together to administer poor relief. Earlier 'unions' were refered to as 'incorporations' and some of these existed until the 1860s (which is why for some areas there are no correspondence until the old incorporation was dissolved and the new union organised). ¶ The Victorian poor law was predicated on the 'workhouse test'. This is where poor relief would be offered via the 'deterrent workhouse', designed to be an institution of last resort. Most Victorian workhouses were built in the late 1830s/early 1840s. However, a small number were built later and many additions were made to existing workhouses throughout the ninteenth and twentieth centuries. ¶ The papers range through the whole field of poor law and (after 1871) local government and public health administration. The material will refer to all aspects of poor relief; workhouse administration, finance, indoor- and outdoor poor relief, information on individual paupers etc. ¶ Digital copies of selected 19th Century Poor Law Union and Workhouse records from MH 12 can be searched and downloaded. The research guide Poverty and the Poor Laws lists the poor law unions which have been digitised and are available through Discovery."	1834-1900	16741 volume(s)		Most of the papers after 1900 were destroyed by enemy action in 1941 or fire in 1944; those which have survived have been incorporated in various MH or HLG series.	For subject indexes see MH 15		Normal Closure before FOI Act: 	30		C10855
LIVE_C10893_3Sep2019_TSV.txt	92	MH 50			Lunacy Commission and Board of Control: Minutes and Seals	"This series contains minutes of the Lunacy Commission and Board of Control 1845 to 1960, together with a matrix and wax impression of the common seal of the Commissioners in Lunacy and a matrix and anvil of the common seal of the Board of Control."	1845-1960	84 volume(s)					Normal Closure before FOI Act: 	30		C10893
LIVE_C10894_3Sep2019_TSV.txt	868	MH 51			Lunacy Commission and Board of Control: Correspondence and Papers	"This series contains a selection of the papers and correspondence of the Board of Control: a body set up in 1913, but effectively dating back to the establishment of the Lunacy Commission in 1845. The records contain general correspondence registered or re-registered in a 60,000 series of files, a set of law officers' opinions from 1857 onwards and the County Register 1798-1812, a list of private asylums and patients admitted to them. ¶ Earlier records include reports on patients, submitted by medical superintendents under the Lunacy Act 1890, s.38; copies of removal orders for the removal of pauper lunatics from one asylum to another; visitors' special reports, etc, on institutions and patients' cases; papers relating to research grants; returns in respect of insane prisoners in gaols; and a complete record of proceedings of the Departmental Committee on Sterilization, 1932 to 1933, with subsidiary papers. Also included are circular letters of the Lunacy Commission and Board of Control 1845 to 1860; papers on the organisation and procedure of the Board; and papers of Lord Shaftesbury and Sir Laurence Brock as chairmen. There are also some records of the Home Office relating to its responsibilities in this area."	1798-1971	846 file(s)					Normal Closure before FOI Act: 	30		C10894
LIVE_C10926_3Sep2019_TSV.txt	411	MH 83			"Lunacy Commission and Board of Control: Building of Asylums and Hospitals, Correspondence and Papers"	"This series contains correspondence and papers of the Lunacy Commission and Board of Control relating to the building of asylums and mental hospitals, including such matters as the purchase of land, contracts for building, planning of the premises etc."	1845-1954	364 file(s)					Normal Closure before FOI Act: 	30		C10926
LIVE_C10928_3Sep2019_TSV.txt	186	MH 85			Lunacy Commission and Board of Control: Representative Case Papers of Patients	This series contains case papers of various categories of mentally ill or mentally defective patients who come under the jurisdiction of the Lunacy Commission and Board of Control.	1849-1960	173 file(s)					Normal Closure before FOI Act: 	30		C10928
LIVE_C10929_3Sep2019_TSV.txt	80	MH 86			Lunacy Commission and Board of Control: Selected Patients Precedent Files	"This series contains selected case papers of patients suffering from mental illness or mental deficiency whose treatment, circumstances, or status were of interest as precedents."	1880-1961	75 file(s)					Normal Closure before FOI Act: 	30		C10929
LIVE_C10852_3Sep2019_TSV.txt	41	MH 9			Poor Law Commission and successors: Paid Officers Department and Metropolitan Department: Registers of Paid Officers		1837-1921	37 volume(s)					Normal Closure before FOI Act: 	30		C10852
LIVE_C10937_3Sep2019_TSV.txt	233	MH 94			Lunacy Commission and Board of Control: Patients Admission Registers	"This series contains registers kept by the Lunacy Commission, 1846 to 1913, and the Board of Control, 1913 to 1960. They record the name and sex of the patient, the name of hospital, asylum or licensed house, and the date of admission and of discharge, or death of each patient. Further information on the medical and legal circumstances of each patient was entered in the patients diaries, also preserved in this series. These note the receipt of medical statements and action to be taken, the receipt of a patient's right to see a judicial authority, the urgency of the case, and further remarks. Temporary and private patients' diaries vary a little in the information they provide."	1846-1960	228 volume(s)					Normal Closure before FOI Act: 	30		C10937
LIVE_C10938_3Sep2019_TSV.txt	114	MH 95			Board of Control: Entries Files	This series contains a representative selection of files containing reports of statutory visits by commissioners to institutions for the mentally ill and the mentally defective. They illustrate an important part of the Board of Control's work. They are called 'Entries' because a copy of each report was entered in a book kept by the institution concerned.	1920-1962	105 file(s)					Normal Closure before FOI Act: 	30		C10938
LIVE_C11690_3Sep2019_TSV.txt	8	PMG 34			Army Establishment: Schoolmistresses and Nurses Pensions	"Records of pensions of schoolmistresses and nurses, but including some rewards to warrant officers given for distinguished or meritorious services from 1917 to 1921 otherwise found in PMG 36"	1909-1928	5 volume(s)					Normal Closure before FOI Act: 	30		C11690
LIVE_C11698_3Sep2019_TSV.txt	19	PMG 42			"Ministry of Pensions: Disability Retired Pay, Gratuities, etc"	"Payments of temporary retired pay and gratuities awarded to invalided officers of the three Services, and to nurses in respect of the disabilities for which they were invalided."	1917-1920	16 volume(s)			For further war pensions records see 		Normal Closure before FOI Act: 	30		C11698
LIVE_C13899_3Sep2019_TSV.txt	8627	T 162	E file series		Treasury: Establishments Department: Registered Files (E Series)	Files of the Establishment Divisions of the Treasury. ¶ The files in T 162 were registered under one or more of the following alphabetical subject headings: ¶ Accommodation/Agriculture/Aliens/Arms/Art/British Subjects Abroad/Charities/Children and Women/Civil Defence/ Committees/Communications/Compensation/ Contracts/Correspondence/Countries/Crown Estates/Defence/Departmental Functions/Discipline/Ecclesiastical/Education/Elections/Electricity/ Entertainment/Escheat/Escheated Property/Establishment/Exhibitions/Fighting Services/Finance/Fires /Foreign Office/Friendly Societies/Funerals/Gas/ Housing/Indemnities/ Institutes/ Insurance/Inventions/Labour/Land/Law/League of Nations/Libraries/Local Authorities/Losses/Lunacy/ Materials/Medical/Missions/Monuments/Museums and Galleries/Music/National Service/ Parliament/Passports/Pensions/Photography/Police/Prisons/Prize Fund/Promotion/ Publicity/Records/Recreation/Reformatories/Refreshments/ Registration/Rewards and Gifts/Royal Family/Scientific Investigations/ Shorthand Writing/Stationery/Statistics/Time/Trade/Treasury/War/Warrants and Charters/Witnesses	1890-1948	1028 boxes and files		Re-registered and later files are in:	Related files can be found in the following series: T 288; Finance (F) files T 160; Supply (S) files T 161; General (G) files T 163; Superannuation (P) files T 164		Normal Closure before FOI Act: 	30		C13899
LIVE_C14308_3Sep2019_TSV.txt	647	WO 100			War Office: Campaign Medal and Award Rolls (General Series)	"This series comprises original lists submitted by regiments and units of officers and men entitled to campaign medals and clasps. ¶ For the Royal Artillery there are separate registers of medals awarded for campaigns between 1845 and 1902. One volume contains a roll of recipients of the medals issued for Queen Victoria's Jubilee in 1897, King Edward VII's Coronation in 1901, and the Delhi Durbar, 1903. ¶ PLEASE NOTE: Records within this series are available to download free of charge as part of the Digital Microfilm project."	1793-1984	561 files and volumes			For First World War Service Medal and Award Rollssee WO 329		Normal Closure before FOI Act: 	30		C14308
LIVE_C14352_3Sep2019_TSV.txt	6	WO 145			War Office: Registers of Recipients of the Royal Red Cross	This series comprises registers of recipients of the Royal Red Cross decoration.	1883-1994	3 volume(s)			See also 		Normal Closure before FOI Act: 	30		C14352
LIVE_C14368_3Sep2019_TSV.txt	3658	WO 161			"War Office: Miscellaneous Unregistered Papers, First World War"	"This series contains various papers concerning the War of 1914-1918 (some of later date), including files of the Master-General of the Ordnance (MGO), the Director of Supplies and Transport (DST), the Director of Medical Services (DMS), the Director of Army Priority and the Director of Fortifications and Works (largely in Egypt and Palestine). ¶ Also included are papers of the Committee on the Treatment of British Prisoners of War, reports and assessments of German manpower and casualties, unit etc histories and narratives of operations."	1914-1944	117 files and volumes					Normal Closure before FOI Act: 	30		C14368
LIVE_C14369_3Sep2019_TSV.txt	417	WO 162			Commander-in-Chief and War Office: Adjutant General's Department: Papers	"Unregistered papers of the Adjutant General relating to organisation, mobilisation and recruitment; women's services; medical arrangements for and casualty statistics and papers of various military actions; prisoners of war; coronation arrangements; medals; Wellington College; the Committee on Drafts for India and the Colonies; and the death of the Prince Imperial in the 1879 Zulu War."	1715-1971	383 files and volumes					Normal Closure before FOI Act: 	30		C14369
LIVE_C14428_3Sep2019_TSV.txt	2313	WO 222			War Office: Medical Historians' Papers: First and Second World Wars	"The series consists of files sent to the Medical Historian for information, of contributions prepared by senior medical staff, and of the Deputy Director of Medical Services; quarterly returns and reports made to the Medical Historian; and some files relating to Army nurses and the nursing establishment. The papers were collected for use in compiling the Army contribution to the UK Medical Series of the History of the Second World War. ¶ The files deal with both administrative and clinical matters and give an account of the activities of individual medical units in all theatres of operations."	1914-1949	2153 file(s)			For related registers and papers concerning Second World War allied prisoners of war hospitals in Thailand and Burma see WO 347		Normal Closure before FOI Act: 	30		C14428
LIVE_C14232_3Sep2019_TSV.txt	216	WO 23			"Royal Hospital Chelsea: Admission Books, Registers and Papers"	"The records in this series consist of registers, admission books, ledgers etc relating to army pensioners and the payment of pensions. Most, but by no means all, relate to pensions payable by the Commissioners of the Royal Hospital, Chelsea, to either in-pensioners or out-pensioners ¶ Most registers and admission books give name, rank and regiment, rate of pension, date of admission to pension, and residence. Many give, in addition, date and place of birth, a record of service and complaint or reason for discharge."	1702-1933	181 volume(s)					Normal Closure before FOI Act: 	30		C14232
LIVE_C14449_3Sep2019_TSV.txt	35	WO 243			War Office: Advisory Board for Army Medical Services: Minutes and Reports	Printed confidential papers. No records of the Advisory Board have been traced for 1915 to 1930.	1898-1914	28 files and volumes		No records of the board for 1915-1940 have been traced.			Normal Closure before FOI Act: 	30		C14449
LIVE_C14234_3Sep2019_TSV.txt	19217	WO 25			"War Office and predecessors: Secretary-at-War, Secretary of State for War, and Related Bodies, Registers"	"Entry books and registers of the Secretary-at-War and the Secretary of State for War and also a few kept by independent or subordinate departments, including the Board of General Officers, the departments of the Commissary General of Musters and of the Chaplain General, and the Medical Department (including the Army Nursing Service). Dates given are approximate. ¶ Subjects covered include: commissions and other appointments, records of service and other service matters; embarkation, disembarkation, casualty and deserter information; pay, pensions, absences and discharges; establishments; and the Militia, Army Reserve, defence of Ireland and School of Military Engineering. ¶ The series includes material which would otherwise be found amongst another War Office (WO) division: the Records of the Board of General Officers and records relating to soldiers' clothing. ¶ WO 25 is also available as part of the Digital Microfilm project."	1660-1938	4001 volume(s)			For officers' service records see WO 76		Normal Closure before FOI Act: 	30		C14234
LIVE_C14239_3Sep2019_TSV.txt	301	WO 30			"War Office, predecessors and associated departments: Miscellaneous Papers"	"This series of miscellaneous papers deals with many aspects of the armed forces. ¶ Subjects include: conditions of service, letters of attorney, reports on many different subjects, circulars and regulations, claims for losses, clothing, courts martial, and troop accommodation. ¶ Many papers are on specific subjects, as disparate as the Chartist Riots, Chelsea Royal Hospital, the Holland Expedition of 1799, the Hong Kong Regiment, Ireland, the Military Knights of Windsor, Newfoundland, the Royal Artillery, the Tower of London and the Waterloo prize list."	1684-1951	147 volume(s)					Normal Closure before FOI Act: 	30		C14239
LIVE_C14241_3Sep2019_TSV.txt	20026	WO 32			War Office and successors: Registered Files (General Series)	"This series comprises registered files of the War Office dealing with all aspects of the administration of the departments and the armed forces. They include files opened in the War Office and continued in the Ministry of Supply (SUPP) after 1939; and files pertaining to functions restored to the War Office in 1959. ¶ With the unification of the Ministry of Defence in 1964, the War Office became the Army Department of the Ministry of Defence, its registered files are generally to be found thereafter in DEFE 70, but there is some overlap with this series."	1845-1999	22235 files and volumes		"Special series files transferred from WO 32, see"	For War Office correspondence subject indexes see WO 139; For the contracts precedent books entries relating to some registered files in this series see WO 254		Normal Closure before FOI Act: 	30		C14241
LIVE_C14242_3Sep2019_TSV.txt	5307	WO 33	O and A file series		"War Office: Reports, Memoranda and Papers (O and A Series)"	"This series contains confidential printed reports, memoranda etc, which were specially printed and given a limited circulation, dealing with all aspects of the administration of the departments and the armed forces. ¶ Initially, they were issued from 1853-1858 in a numbered sequence covering 1853 to 1855 and separate numbered sequences for 1856, 1857 and 1858. In 1859 a prefix (letter O or number nought) was introduced which was used in a single sequence until 1886 when a series with an A prefix was introduced (paper O 1016 was followed by paper A16). ¶ There were also separate B and C series of papers, but the latter (which by the 1940's was reserved for papers classified 'confidential') does not survive as a distinct set. ¶ There were also other serial numbers in use for secret and confidential papers, usually those originating in other departments. Such documents will normally be found in the records of the originating department. ¶ Material originally assigned to WO 130, which was abolished in June 1969, is now WO 33/1574-1623; the other papers fomerly in WO 130 largely duplicated material already in WO 33."	1853-1969	3409 files and volumes			"For related printed material see WO 279; See also Records of Commissions, Committees and Councils, etc ; For other A papers, relating to the Second World War, many of which will have copies in this series, see WO 212"		Normal Closure before FOI Act: 	30		C14242
LIVE_C15000_3Sep2019_TSV.txt	15798	WO 399			"War Office: Directorate of Army Medical Services and Territorial Force: Nursing Service Records, First World War"	Correspondence files of the Directorate of Army Medical Services and Territorial Force containing service records of women who served in Queen Alexandra's Imperial Military Nursing Service and Territorial Force Nursing Service and other associated bodies during the First World War. ¶ Please Note: Digital images of the records in this series are available to search and download.	c1914 - c1939	15792 file(s)	"Dates for records in this series generally cover the First World War period, but there are some records for nurses who served before 1914 and until around 1939. The extent of these is unknown."				Normal Closure before FOI Act: 	30		C15000
LIVE_C14541142_3Sep2019_TSV.txt	127	WO 417			"War Office: Army Casualty Lists, 1939-45 War"	"This series contains lists of casualties sustained by the British Army during the Second World War. There are volumes for officers/nurses, and separate volumes for other ranks. ¶ PLEASE NOTE: WO 417 piece numbers 1-102 inclusive: electronic images of these records can be searched online through our partner website."	1939-1947	102 file(s)			See also WO 361					C14541142
LIVE_C14252_3Sep2019_TSV.txt	968	WO 43	VOS and OS file series		"War Office: Secretary-at-War, Correspondence, Very Old Series (VOS) and Old Series (OS)"	"This series comprises the bulk of the surviving in-letters of the Secretary-at-War's Office between about 1809 and 1857, with some earlier and later papers. Both VOS and OS papers were very heavily weeded from 1904 to 1906, and a large quantity of papers destroyed. ¶ In addition to the large proportion of papers relating to particular officers and soldiers (often in connection with half pay, pensions, annuities and allowances) this series reflects the very wide variety of business both at home and abroad which was conducted by the Secretary-at-War and his Office."	1803-1857	1059 bundle(s)		"The accompanying correspondence, where it has survived, remains in this series. Original certificates of the births, baptisms, marriages and deaths of officers and their families from 1755, which accompanied the correspondence in this series, were extracted and are in"			Normal Closure before FOI Act: 	30		C14252
